車型,品番,品名,產品圖片,原料編號,模具廠商,生產機台,CT時間(秒),重量公差,標準重量(g),重量上限(g),重量下限(g),標準長度,長度上限,長度下限,後加工組立,組立時間,重點管制1,重點管制2,重點管制3,異常履歷寫真1,異常履歷寫真2,異常履歷寫真3,出貨容器,收容數,月需求量,成形條件表,作業標準書,檢查手順書,備註
D21,82870_1-BA100,後門飾板,82870_1-BA100_main.jpg,,,,,,,,,,,,,,,,,,,,,,,82870_1-BA100_qc1.pdf,82870_1-BA100_qc2.pdf,82870_1-BA100_qc3.pdf,
P02F,76850_1-5RT0A-1,側裙,76850_1-5RT0A-1_main.jpg,,,,,,,,,,,,,,,,,,,,,,,76850_1-5RT0A-1_qc1.pdf,76850_1-5RT0A-1_qc2.pdf,76850_1-5RT0A-1_qc3.pdf,
P02F,63810_1-2YK0A,輪弧RH/LH,63810_1-2YK0A_main.jpg,,,,,,,,,,,,,,,,,,,,,,,63810_1-2YK0A_qc1.pdf,63810_1-2YK0A_qc2.pdf,63810_1-2YK0A_qc3.pdf,
P02F,8000_2-NA034A-00,前門門板RH/LH,8000_2-NA034A-00_main.jpg,,,,,,,,,,,,,,,,,,,,,,,8000_2-NA034A-00_qc1.pdf,8000_2-NA034A-00_qc2.pdf,8000_2-NA034A-00_qc3.pdf,
P02F,8013_2-5RT0A,前門飾條RH/LH,8013_2-5RT0A_main.jpg,,,,,,,,,,,,,,,,,,,,,,,8013_2-5RT0A_qc1.pdf,8013_2-5RT0A_qc2.pdf,8013_2-5RT0A_qc3.pdf,
P02F,8004_6-NA034A-00,後門門板RH/LH,8004_6-NA034A-00_main.jpg,,,,,,,,,,,,,,,,,,,,,,,8004_6-NA034A-00_qc1.pdf,8004_6-NA034A-00_qc2.pdf,8004_6-NA034A-00_qc3.pdf,
P02F,8014_5-5RT0A,後門飾條RH/LH,8014_5-5RT0A_main.jpg,,,,,,,,,,,,,,,,,,,,,,,8014_5-5RT0A_qc1.pdf,8014_5-5RT0A_qc2.pdf,8014_5-5RT0A_qc3.pdf,
P02F,78126_7-5RT1A-1,C柱外飾蓋RH/LH,78126_7-5RT1A-1_main.jpg,,,,,,,,,,,,,,,,,,,,,,,78126_7-5RT1A-1_qc1.pdf,78126_7-5RT1A-1_qc2.pdf,78126_7-5RT1A-1_qc3.pdf,
P33A,85084-6RX0A,後下保飾蓋,85084-6RX0A_main.jpg,,,,,,,,,,,,,,,,,,,,,,,85084-6RX0A_qc1.pdf,85084-6RX0A_qc2.pdf,85084-6RX0A_qc3.pdf,
P33A,80870_1-6RX0A-1,前門門板RH/LH,80870_1-6RX0A-1_main.jpg,,,,,,,,,,,,,,,,,,,,,,,80870_1-6RX0A-1_qc1.pdf,80870_1-6RX0A-1_qc2.pdf,80870_1-6RX0A-1_qc3.pdf,
